accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-sans-pro-fonts 3.028-1
adwaita-icon-theme 40.1.1-1
alacritty 0.8.0-1
albert 0.17.2-1
alsa-card-profiles 1:0.3.28-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-tools 1.2.2-1
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
aom 3.1.0-1
apparmor 3.0.1-3
archlinux-keyring 20210110-1
argon2 20190702-3
arp-scan 1.9.7-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.1-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.1-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
base 2-2
bash 5.1.008-1
bash-completion 2.11-2
bat 0.18.1-1
bind 9.16.16-1
binutils 2.36.1-3
bison 3.7.6-1
blueman 2.1.4-1
bluez 5.58-1
bluez-libs 5.58-1
bolt 0.9.1-1
brave-bin 1:1.25.68-1
breeze-gtk 5.21.5-1
bridge-utils 1.7.1-1
brotli 1.0.9-4
bspwm 0.9.10-1
btrfs-progs 5.12.1-1
bubblewrap 0.4.1-2
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.65-1
ca-certificates-utils 20181109-4
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
cdparanoia 10.2-8
clang 11.1.0-1
clutter 1.26.4-1
clutter-gtk 1.8.4-2
cmake 3.20.3-1
cogl 1.22.8-1
colord 1.4.5-1
compiler-rt 11.1.0-1
containerd 1.5.2-1
coreutils 8.32-1
cryptsetup 2.3.5-4
curl 7.77.0-1
dav1d 0.9.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-1
dbus-python 1.2.16-4
dconf 0.40.0-1
ddcutil 1.1.0-1
deno 1.10.2-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
dialog 1:1.3_20210509-1
diffutils 3.7-3
discord 0.0.15-1
dkms 2.8.4-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docker 1:20.10.6-1
docker-compose 1.29.2-1
dosfstools 4.2-1
double-conversion 3.1.5-2
e2fsprogs 1.46.2-1
efibootmgr 17-2
efivar 37-4
electron9 9.4.4-1
elfutils 0.184-1
ell 0.40-1
enchant 2.2.15-2
exa 0.10.1-1
expat 2.4.1-1
fakeroot 1.25.3-2
fd 8.2.1-1
feh 3.7-1
ffmpeg 2:4.4-3
fftw 3.3.9-1
file 5.40-3
filesystem 2021.01.19-1
findutils 4.8.0-1
flac 1.3.3-3
flameshot 0.9.0-1
flex 2.6.4-3
fltk 1.3.6-1
fluidsynth 2.1.8-1
fontconfig 2:2.13.93-4
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.3-1
fuse2 2.9.9-4
fzf 0.27.1-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.40.0-1
gdbm 1.19-2
gdk-pixbuf2 2.42.6-1
gettext 0.21-1
giflib 5.2.1-2
git 2.31.1-1
glib-networking 1:2.68.1-1
glib2 2.68.2-1
glibc 2.33-5
glibmm 2.66.1-2
glslang 11.4.0-1
glu 9.0.1-2
gmp 6.2.1-1
gn-m85 0.1792.7d7e8dee-1
gnome-keyring 1:40.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.27-1
gnutls 3.7.1-1
go 2:1.16.4-1
go-tools 4:0.1.2-1
gobject-introspection-runtime 1.68.0-1
google-chrome 90.0.4430.93-1
gperf 3.1-3
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.7-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.04-10
gsettings-desktop-schemas 40.0-3
gsm 1.0.19-1
gst-plugin-gtk 1.18.4-2
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gstreamer 1.18.4-1
gthumb 3.10.3-1
gtk-update-icon-cache 1:4.2.1-1
gtk2 2.24.33-2
gtk3 1:3.24.29-1
gtkmm3 3.24.5-2
guile 2.2.7-1
gzip 1.10-3
harfbuzz 2.8.1-1
harfbuzz-icu 2.8.1-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
htop 3.0.5-1
http-parser 2.9.4-1
hugo 0.83.1-1
hunspell 1.7.0-3
hwids 20201207-1
hwloc 2.4.1-1
hyperfine 1.11.0-1
hyphen 2.8.8-3
i3-wm 4.19.2-1
iana-etc 20210202-1
ibus 1.5.24-1
icu 69.1-1
iftop 1.0pre4-4
imagemagick 7.0.11.13-3
imlib2 1.7.1-1
inotify-tools 3.20.11.0-1
intel-ucode 20210216-1
intltool 0.51.0-6
iproute2 5.12.0-1
iptables 1:1.8.7-1
iptraf-ng 1.2.1-1
iputils 20210202-1
iso-codes 4.6.0-1
iw 5.9-1
iwd 1.14-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.28-1
java-runtime-common 3-3
jq 1.6-4
jre-openjdk-headless 15.0.2.u7-1
js78 78.10.1-1
json-c 0.15-1
json-glib 1.6.2-1
jsoncpp 1.9.4-1
k9s 0.24.10-1
kactivities 5.82.0-1
kactivities-stats 5.82.0-1
karchive 5.82.0-1
kauth 5.82.0-1
kbd 2.4.0-2
kcodecs 5.82.0-1
kconfig 5.82.0-1
kconfigwidgets 5.82.0-1
kcoreaddons 5.82.0-1
kcrash 5.82.0-1
kdbusaddons 5.82.0-1
kde-gtk-config 5.21.5-1
kdecoration 5.21.5-1
keyutils 1.6.3-1
kguiaddons 5.82.0-1
kholidays 1:5.82.0-1
ki18n 5.82.0-1
kiconthemes 5.82.0-1
kidletime 5.82.0-1
kirigami2 5.82.0-1
kitemviews 5.82.0-1
kmod 29-1
knotifications 5.82.0-1
kpeople 5.82.0-1
kpty 5.82.0-1
kquickcharts 5.82.0-1
